straight_rpm,MASS,THRUST_COEF,DRAG_COEF,LINEAR_SURGE_DAMP,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,surge_score,surge_err_peak_u_body_mps,surge_err_initial_accel_0_2_after_motion_mps2,surge_err_initial_accel_0_5_after_motion_mps2,surge_err_distance_at_10s_after_motion_m,surge_err_time_to_50pct_peak_u_after_motion_s,surge_err_time_to_90pct_peak_u_after_motion_s,surge_rpm_start_idx,surge_rpm_start_t_sec,surge_motion_start_idx,surge_motion_start_t_sec,surge_motion_lag_s,surge_u_body_at_2s_after_motion_mps,surge_u_body_at_5s_after_motion_mps,surge_u_body_at_10s_after_motion_mps,surge_distance_at_5s_after_motion_m,surge_distance_at_10s_after_motion_m,surge_initial_accel_0_2_after_motion_mps2,surge_initial_accel_0_5_after_motion_mps2,surge_peak_u_body_mps,surge_time_to_50pct_peak_u_after_motion_s,surge_time_to_90pct_peak_u_after_motion_s,surge_u_body_at_2s_after_rpm_mps,surge_u_body_at_5s_after_rpm_mps,surge_u_body_at_10s_after_rpm_mps,surge_distance_at_5s_after_rpm_m,surge_distance_at_10s_after_rpm_m
16.0,64.55,0.06,1.25,2.0,3.0,0.1,5.0,9.202962785509127,0.5242231370944187,0.36391152674676264,0.5663449089876054,0.1638579232890073,5.017775193113386,1.2316850546539553,0,0.0,2,0.2,0.2,0.40059292373694394,0.8728007283311712,1.5434654000177237,2.3830671507243015,8.481339505853429,0.1731805451289941,0.16366169465041908,3.5115493916449907,11.900000000000002,30.500000000000004,0.3671184953263594,0.8430240224694804,1.5192341661808981,2.218720715530319,8.182306120714117
14.0,64.55,0.07,1.5,1.5,3.0,0.1,5.0,9.212612642144286,0.4245403990220313,0.43109173520163363,0.4104894016028607,0.23124720233698115,5.169483811427168,1.253636055191535,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3742878015239415,0.8002676432147959,1.4132129125425268,2.215522900180765,7.797781806055821,0.15489015690266603,0.14737691834551517,3.2818974137181423,12.2,30.8,0.32915771656551013,0.7597057475825223,1.3796654118022245,1.993633476987337,7.390957859925286
15.0,64.55,0.07,1.25,2.0,3.0,0.1,5.0,9.259174990469676,0.5598507289448255,0.3477713882632726,0.6059965011909992,0.14273787824982015,5.017775193113386,1.2316850546539553,0,0.0,2,0.2,0.2,0.4107581682730167,0.8948955344568247,1.5822558271644906,2.4434833887902867,8.695568973961127,0.17757483632992185,0.16780474560832667,3.5936292692189276,11.900000000000002,30.500000000000004,0.3764352158866212,0.8643695332605654,1.5574291462987508,2.2749766409356567,8.389020778834562
14.0,64.55,0.05,1.0,2.0,3.0,0.1,5.0,9.395716376008375,0.12809222028169764,0.5920008706489841,0.015033909679624773,0.4328952635206742,5.725748745244372,1.3414400573418546,0,0.0,4,0.4,0.4,0.27938679063426236,0.5879573118611864,1.0420667153313725,1.6472457593393366,5.752381012062361,0.1110812640131493,0.1060572092599832,2.5989315169438045,13.3,32.0,0.23607375023297203,0.5484407847393922,1.0083510981490003,1.4337926605608244,5.356125748601808
16.0,64.55,0.06,1.5,1.5,3.0,0.1,5.0,9.432738628309787,0.5783367499019065,0.3609743642708398,0.5812774889529626,0.15482491967703693,5.118914271989241,1.253636055191535,0,0.0,2,0.2,0.2,0.40221435601428784,0.8805134405438502,1.5676393475778554,2.3973804041157654,8.57296504716344,0.17398021281690432,0.16522194573471752,3.6362178994961973,12.100000000000001,30.8,0.3684800564061015,0.8502185988845602,1.5426535246658242,2.2315463345837543,8.269175286669302
16.0,64.55,0.07,1.25,2.0,3.0,0.1,5.0,9.451363289149795,0.7556539493045696,0.2579755327758412,0.8265148772555448,0.025322420286278326,4.916636114237531,1.2170510542955686,0,0.0,2,0.2,0.2,0.4673131552109426,1.0177737246414573,1.7977339660526381,2.779563167938214,9.886563172149607,0.20202252852610897,0.1908459103742713,4.044726397062748,11.700000000000001,30.3,0.42827020439746916,0.9830846343339114,1.7696116327000682,2.5879193148582607,9.538271202286275
15.0,64.55,0.07,1.5,1.5,3.0,0.1,5.0,9.4826085732497,0.6144632265700912,0.3447618538517366,0.6212821452626235,0.13350093375526212,5.118914271989241,1.246319055012342,0,0.0,2,0.2,0.2,0.41241949875931483,0.9027894411896605,1.6069486891312696,2.4581402318624592,8.789263173113538,0.17839420789832752,0.16940188707967865,3.7194471223567493,12.100000000000001,30.700000000000003,0.3778303769453826,0.8717336860266537,1.581353192059438,2.2881108491303452,8.47785631472514
14.0,64.55,0.05,1.25,1.5,3.0,0.1,5.0,9.488785671766731,0.1459752045309104,0.5909601767501658,0.020118296233598364,0.4298310613254163,5.7763182846823,1.348757057521048,0,0.0,4,0.4,0.4,0.2799949586144433,0.5906036033637365,1.0501279735415752,1.652339503116454,5.78346249911632,0.11136460185731428,0.10658845835774351,2.6401308537947252,13.4,32.1,0.23650896951108924,0.5507488244840522,1.0159181197482512,1.4379004717269859,5.384086167765535
15.0,64.55,0.05,1.0,2.0,3.0,0.1,5.0,9.676846623008212,0.2857878058029126,0.5309583451133938,0.17023665568683272,0.3604052675295612,5.725748745244372,1.341440057341855,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3083354799106977,0.6635084630717653,1.1856745839110625,1.829774163816987,6.487677421491938,0.1277006153971437,0.12227378089767939,2.9622351723769134,13.3,32.00000000000001,0.2709929982990909,0.6294563267802897,1.1566709147558734,1.6457627527079757,6.146259742700363
16.0,64.55,0.07,1.5,1.5,3.0,0.1,5.0,9.679048942795628,0.8124496134705694,0.25456530412258227,0.8437415904616891,0.014973237074724914,5.017775193113386,1.2316850546539553,0,0.0,2,0.2,0.2,0.4691953360244064,1.0266626975623996,1.825230925074446,2.7961139502969443,9.991539274740605,0.20295099254018767,0.19264586711457607,4.175573892482859,11.900000000000002,30.500000000000004,0.42985144241944495,0.9913805793953107,1.79626485392136,2.6027552006268246,9.637835714168414
