policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,being_overtaken,6.791254452278463,1.4553176893876154,8.612014291766783,,False,goal,False,False,41,-13.282659365846527,-39.59987239321118,0,0,0,12,0,0.0,0.0,0.0,9.777746269928686,0.0,0.9510163006413205,1.0871602110544931,2.2066899098951525,0,,False,being_overtaken,17,0.0,False,0.0,development,66
model,being_overtaken,7.618572716555467,0.0524706874686347,-13.038802994098347,,True,goal,False,False,41,11.791932410666817,-16.386243600428507,0,0,0,5,0,0.0,0.0,0.0,4.045986074179878,0.0,0.9343531401454983,1.037431795859628,3.0160491948469095,0,,False,being_overtaken,8,0.0,False,0.0,development,67
model,being_overtaken,8.61263148724731,0.3303938638096535,-12.938720162676333,,True,goal,False,False,41,18.323596632705133,-15.3221392138618,0,0,0,10,0,0.0,0.0,0.0,3.7832442503362462,0.0,0.9323925032626033,1.0637683023723201,3.5171400628222766,0,,False,being_overtaken,10,0.0,False,0.0,development,68
model,being_overtaken,7.715636756725871,1.0153730961261043,-20.115703048698954,,False,goal,False,False,44,25.7621571866473,-12.413787936992257,0,0,0,6,0,0.0,0.0,0.0,3.065132823948706,0.0,0.8777732406211937,0.9847505357368483,3.405750884486828,0,,False,being_overtaken,6,0.0,False,0.0,development,69
model,being_overtaken,7.643066319700785,1.428419899787731,30.035851887711317,,False,goal,False,False,41,12.017062862070802,-20.182168124881805,0,0,0,8,0,0.0,0.0,0.0,4.9832513888597045,0.0,0.9343263091554713,1.0497378999854874,3.0748055440467397,0,,False,being_overtaken,8,0.0,False,0.0,development,70
model,being_overtaken,7.958885684444756,1.2954947425930026,13.360187385941856,,False,collision:target,True,True,27,-365.7441880553809,-31.062690276174926,0,0,0,10,0,0.0,0.0,0.0,7.66980006819134,0.0,0.8356828910015126,0.9920643810729209,1.832569529608309,0,,False,being_overtaken,15,0.0,False,0.0,development,71
model,being_overtaken,8.919597231476935,1.638508474043682,22.488479164906636,,False,collision:target,True,True,8,-298.51513569326966,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5540328924461956,0.746436990924019,0.9899511042872053,0,,False,being_overtaken,6,0.0,False,0.0,development,72
model,being_overtaken,6.8745535936065325,1.9000574198785705,25.615913112521056,,False,collision:obstacle,True,False,29,-404.12198710832433,-22.527718654316693,0,0,0,7,0,0.0,0.0,0.0,5.5623996677325165,0.0,0.8218908942295803,0.9755979866869751,3.091326493293812,0,,False,being_overtaken,9,0.0,False,0.0,development,73
model,being_overtaken,7.392424952880393,1.8593011443972551,-24.143596546104874,,False,goal,False,False,42,27.160181790139788,-7.152721738970804,0,0,0,5,0,0.0,0.0,0.0,1.766104133079211,0.0,0.8995723807261209,0.9907417623691133,3.900030199322461,0,,False,being_overtaken,5,0.0,False,0.0,development,74
model,being_overtaken,8.211625632198505,1.172865771205334,9.352456957806979,,False,goal,False,False,43,-5.739795657825795,-19.687504061710094,0,0,0,11,0,0.0,0.0,0.0,4.861112114002492,0.0,0.8875790597939527,1.0337423780800947,3.4331329373334656,0,,False,being_overtaken,12,0.0,False,0.0,development,75
