scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
25,21.5,2.8469700350690346,1,idle,none,0,-13.338614402877145,15.0168906987137,-170.1591642168448,0
25,22.0,3.7397462630194696,1,idle,none,0,-14.864109921146833,15.556398172275253,-170.8376340733585,0
25,22.5,4.757774335333664,1,idle,none,0,-16.07180639059126,16.09672353467652,-171.6470939286163,0
25,23.0,5.832035292903441,1,idle,none,0,-15.50736323468203,16.638127505768086,-172.5167665364701,0
25,23.5,6.820649661461687,1,idle,none,0,-17.122459406198573,17.179440076784797,-173.30419591335402,0
25,24.0,7.773654093467201,0,none,,0,,17.722085787312768,-174.05941584174178,0
25,24.5,8.821312616327646,0,none,,0,,18.272740435186876,-174.9128792859756,0
25,25.0,9.892521704691092,0,none,,0,,18.827435631303597,-175.79084679505058,0
25,25.5,10.538085021611408,0,none,,0,,19.380600273151018,-176.24545665486343,0
25,26.0,10.245180611562688,0,none,,0,,19.93424945912696,-175.77169951453388,0
25,26.5,9.14894613971984,0,none,,0,,20.492535920619737,-174.51172167789852,0
29,0.0,0.0,0,none,,0,,7.260007978288834,20.135533737149444,0
29,0.5,-0.46805476594624906,0,none,,0,,6.867783212251154,19.996256068554885,0
29,1.0,-3.0629443889935715,0,none,,0,,6.443038175820059,22.08572375680501,0
29,1.5,-8.153199518687245,0,none,,0,,5.9946124308931905,26.857690259388164,0
29,2.0,-14.3898621290503,0,none,,0,,5.532737994425974,33.05539940114443,0
29,2.5,-20.928014344148096,1,engaged,crossing,1,4.882682944982833,5.068549981198598,39.93254975610341,0
29,3.0,-27.522814784429954,1,engaged,crossing,1,4.849427458090053,4.613870146895572,47.36518494558578,0
29,3.5,-33.82508167025327,1,engaged,crossing,1,4.298642516525689,4.179535100834263,55.13697272938066,0
29,4.0,-39.405758640508736,1,engaged,crossing,1,4.056952382956811,3.7742477261652154,62.96216860669972,0
29,4.5,-43.12110769138303,1,engaged,crossing,1,3.3337874425040552,3.4018296164658457,69.84957991912705,0
29,5.0,-43.30936543789454,1,engaged,crossing,1,2.9294246650121494,3.05831406740203,74.32604485015804,0
29,5.5,-37.703698349953356,1,engaged,crossing,1,2.1419989475524615,2.729042047150364,74.37947422793388,0
29,6.0,-27.241366413501282,1,engaged,crossing,1,1.701366031912921,2.3986944441023375,71.26930665348902,0
29,6.5,-15.39365705861485,1,engaged,crossing,1,1.2046483530148202,2.0703675106653994,68.87265483008969,0
29,7.0,-5.137219593089412,1,engaged,crossing,1,1.1642403453925099,1.7661709030803139,70.82820381117,0
29,7.5,2.42701759434334,1,engaged,crossing,1,0.5600166771611766,1.5204246401362524,79.22525699056371,0
29,8.0,6.876433439724565,1,engaged,crossing,1,0.053996403213631514,1.3849531573669007,94.97805635630715,1
29,8.5,4.423186354326731,1,clearing,crossing,1,-0.4232595289169029,1.4295664410108206,119.43467220952743,1
35,0.0,0.0,0,none,,0,,6.987033978915872,17.95075260024089,0
35,0.5,-0.5349696482582544,0,none,,0,,6.62428321495691,17.840711781157836,0
35,1.0,-3.4676199447249587,0,none,,0,,6.228443964180937,20.233846804618906,0
35,1.5,-9.294457334649962,0,none,,0,,5.808079996781406,25.73408272389065,0
35,2.0,-17.19898047310869,0,none,,0,,5.3753042099661466,33.660883542292765,0
35,2.5,-25.827220628609552,0,none,,0,,4.945325979800314,42.795759877541514,0
35,3.0,-33.44004083993826,0,none,,0,,4.53161604506159,51.503969087093935,0
35,3.5,-39.58348340139861,0,none,,0,,4.143119964618484,59.42788336898303,0
35,4.0,-43.765278363248285,0,none,,0,,3.784384150161937,66.18242993660812,0
35,4.5,-42.695799959349245,0,none,,0,,3.4456109019368486,68.57465947476402,0
35,5.0,-34.95417683188509,0,none,,0,,3.102861947398248,65.32316909073182,0
35,5.5,-23.041780248357327,0,none,,0,,2.737614119334669,59.060974530257454,0
35,6.0,-10.374620319705684,0,none,,0,,2.351488550726625,53.35940944243049,0
35,6.5,0.4999088411764774,0,none,,0,,1.960564924028625,51.18399333530027,0
35,7.0,8.7864942765205,0,none,,0,,1.585435341130198,54.41951708421146,0
36,0.0,0.0,0,none,,0,,7.269666475497845,17.470207982756733,0
36,0.5,-0.42056307153217176,0,none,,0,,6.862469468845709,16.78274186462994,0
36,1.0,-2.574928638021447,0,none,,0,,6.452805190901449,17.756896573598283,0
36,1.5,-6.934886892016266,1,engaged,crossing,1,5.841534241848419,6.031552830233549,20.9420804769332,0
36,2.0,-13.538233107509313,1,engaged,crossing,1,6.474378317387556,5.586110373165041,26.512951996176753,0
36,2.5,-21.69363567794153,1,engaged,crossing,1,5.311641607035798,5.130133779429657,33.873486777942276,0
36,3.0,-30.415461226033585,1,engaged,crossing,1,5.207835754637038,4.678336329763794,42.13716802470634,0
36,3.5,-38.7639500636933,1,engaged,crossing,1,4.472229224693675,4.243423008625298,50.45789077775805,0
36,4.0,-45.62372367071282,1,engaged,crossing,1,4.679910129809423,3.8322780605150037,57.807882222729745,0
36,4.5,-50.6323351744133,1,engaged,crossing,1,4.069970392046081,3.446362445378054,63.93810889660449,0
36,5.0,-52.953551688673315,1,engaged,crossing,1,3.2273801553713066,3.0820123929647054,68.16337854615972,0
36,5.5,-49.90769064248775,1,engaged,crossing,1,2.8757081835765517,2.7239712884260245,67.98900710787228,0
36,6.0,-41.149602672945434,1,engaged,crossing,1,2.0531723250271714,2.3504895495837403,63.2798549198767,0
36,6.5,-28.993520801662214,1,engaged,crossing,1,1.5679083579776871,1.9489961552977297,56.55802640853739,0
38,0.0,0.0,0,none,,0,,5.624674662178701,56.430484942296204,0
38,0.5,0.17820720882099295,0,none,,0,,5.32331691741841,57.81368842269529,0
38,1.0,1.2019293292531472,0,none,,0,,5.003891705130835,58.910653598010924,0
38,1.5,3.326047492813416,0,none,,0,,4.669786863611608,59.526801833288346,0
38,2.0,7.019712106545882,1,engaged,crossing,1,3.4916644295194583,4.323150750052868,59.26049788965696,0
38,2.5,11.885315868684103,1,engaged,crossing,1,2.9618650916313305,3.966363329342017,58.59470400164031,0
38,3.0,15.893440325610129,1,engaged,crossing,1,2.3911110642598827,3.6129560331070403,59.58086514573762,0
38,3.5,16.47819929892364,1,engaged,crossing,1,2.4235366749741605,3.2862979154410934,64.80752368829036,0
38,4.0,12.566551317261855,1,engaged,crossing,1,1.6340547768024485,3.004296735558666,75.8639522984881,0
38,4.5,6.521594266959795,1,engaged,crossing,1,0.877211174809511,2.794603196689072,90.73179162432245,0
38,5.0,1.0048545932251614,1,engaged,crossing,1,0.08119497349598583,2.6799006839381736,106.05315006337901,0
38,5.5,-1.700224339068285,1,clearing,crossing,1,-0.9236218236700864,2.6570278053617327,118.7655351038506,0
38,6.0,-1.4925039275791505,1,clearing,crossing,1,-1.5519042877110962,2.7068485123053696,128.06707533182623,0
38,6.5,0.44346062784825335,1,clearing,crossing,1,-1.3848272676187936,2.810157737727594,134.79109704307297,0
38,7.0,1.0153703363755824,1,clearing,crossing,1,-1.5968588948092197,2.9626271562458193,141.956171915283,0
38,7.5,-1.7700480596217574,1,clearing,crossing,1,-1.9011075357753662,3.163989905802407,151.3914017705889,0
38,8.0,-6.4024147230711606,1,clearing,crossing,1,-2.6740065168531295,3.407560065632807,161.53206857097632,0
38,8.5,-10.882471945086309,1,clearing,crossing,1,-3.142634212227899,3.694967135137811,170.51547290926555,0
38,9.0,-14.431471401189356,1,idle,none,0,-3.8729858146392755,4.018108677468025,177.66938752280157,0
38,9.5,-17.86906357652913,1,idle,none,0,-4.486372425883216,4.367590711018326,-176.08910013932987,1
38,10.0,-22.312397451570973,1,idle,none,0,-5.6272014255085665,4.744556590157876,-169.5828750540337,1
38,10.5,-27.73298235462289,1,idle,none,0,-6.461130709058513,5.137194587500986,-162.77593016917143,1
38,11.0,-33.525779386603574,1,idle,none,0,-6.812990933975377,5.534339161573906,-156.1810368099647,1
38,11.5,-38.997101253328935,1,idle,none,0,-7.943994883642898,5.927267585658278,-150.38586176150298,1
38,12.0,-40.32409833764905,1,idle,none,0,-7.024233361311527,6.317677585238161,-149.03680044232482,1
38,12.5,-34.18444944081426,1,idle,none,0,-6.343255868879572,6.7244910449992865,-155.19679559087123,1
38,13.0,-23.004350149150014,1,idle,none,0,-9.131778362691916,7.146008269389751,-166.14660804934542,1
38,13.5,-11.16606701686203,1,idle,none,0,-7.920898936313591,7.566771149843545,-177.40273095665106,1
38,14.0,-1.5683413001418387,1,idle,none,0,-8.780705358650243,7.97237326750372,173.8626880806978,1
38,14.5,4.970227585129294,1,idle,none,0,-10.300985798166641,8.355646634286584,168.37783557328765,1
38,15.0,9.189720222958272,1,idle,none,0,-9.226336466003177,8.731306433201938,165.34371175067076,1
38,15.5,12.306432718953317,1,idle,none,0,-8.917655425532011,9.10318387406341,163.4982178659252,1
38,16.0,15.189908768606983,1,idle,none,0,-8.51418352729606,9.46984462434733,161.93871832054924,1
38,16.5,18.333486886016942,1,idle,none,0,-8.505373121804421,9.833750923869983,160.16098864100957,1
38,17.0,21.82609470866518,1,idle,none,0,-9.76464915292924,10.189665374739036,158.05832885699874,1
38,17.5,25.476743884811782,1,idle,none,0,-9.95649754633973,10.537132207422115,155.8155588403456,1
38,18.0,28.737044182326144,0,none,,0,,10.876923782327493,153.97031126649927,0
38,18.5,30.866018671578246,0,none,,0,,11.21096234049963,153.24497886762367,0
38,19.0,31.271528453765768,0,none,,0,,11.541794543298572,154.20563697501643,0
38,19.5,28.91215663565174,0,none,,0,,11.87172664883621,157.85228631202494,0
38,20.0,23.978370033683404,0,none,,0,,12.209298146331529,163.96764348502825,0
38,20.5,17.38112668992369,0,none,,0,,12.5550881184029,171.6143842052113,0
38,21.0,9.90760358112766,0,none,,0,,12.907026017412914,179.98967694326768,0
38,21.5,2.9999517147495,0,none,,0,,13.258559138592467,-172.3389916096019,0
38,22.0,-2.1317836291763115,0,none,,0,,13.60322790450783,-166.5559120059968,0
38,22.5,-4.832324303486757,0,none,,0,,13.946718476324422,-163.29251232726324,0
38,23.0,-4.885604215010403,0,none,,0,,14.299345971407414,-162.74543065859496,0
38,23.5,-2.5293505503827873,0,none,,0,,14.665072793117066,-164.64807817339556,0
38,24.0,1.4358381381670426,0,none,,0,,15.044329347391,-168.16894495925618,0
38,24.5,5.700822062081016,0,none,,0,,15.430523892541826,-171.97805037081642,0
