policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
follower,being_overtaken,5.7479461611789,1.6904407083818338,-2.5233037070053843,,False,,goal,False,False,67,178.37577932993645,-5.374220670063534,0,0,0,11,0,0.0,0.0,0.0,1.3269680666823542,0.0,0.5583301183712082,0.5583534823488705,1.6907900407868277,0,,False,being_overtaken,23,0.0,False,0.0,37
follower,being_overtaken,7.111260720178818,1.6591462177952323,5.798605650555382,,False,,goal,False,False,67,167.22512360335418,-16.524876396645833,0,0,0,11,0,0.0,0.0,0.0,4.080216394233539,0.0,0.5588355053596088,0.5589407706899365,1.6585061394700238,0,,False,being_overtaken,22,0.0,False,0.0,38
follower,being_overtaken,9.924433511599638,1.8595356156267682,-5.761505074223892,,False,,goal,False,False,69,176.09612699381472,-1.04218225471428,0,0,0,7,0,0.0,0.0,0.0,0.2573289517813037,0.0,0.5414509420016153,0.5571351031491147,1.8870735776591154,0,,False,being_overtaken,18,0.0,False,0.0,39
follower,being_overtaken,7.777153961253272,1.4989473412166083,5.817347188610187,,False,,goal,False,False,68,182.86906080342888,-0.19564628989628066,0,0,0,10,0,0.0,0.0,0.0,0.048307725900316206,0.0,0.5542287053238172,0.5579197321294505,1.5085845899867756,0,,False,being_overtaken,21,0.0,False,0.0,40
follower,being_overtaken,9.472351939506785,1.9738570974627374,7.020402118408914,,False,,goal,False,False,68,166.89357052662007,-14.075244633720624,0,0,0,14,0,0.0,0.0,0.0,3.475369045363117,0.0,0.5504259061048612,0.5577276632206498,2.0009984126716764,0,,False,being_overtaken,24,0.0,False,0.0,41
follower,being_overtaken,6.791254452278463,1.5734762792775023,4.906307916812494,,False,,goal,False,False,68,172.72928188471244,-9.264622554491874,0,0,0,15,0,0.0,0.0,0.0,2.2875611245658947,0.0,0.552286717169355,0.5578572745810693,1.5896467086939365,0,,False,being_overtaken,25,0.0,False,0.0,42
follower,being_overtaken,7.618572716555467,0.56048132483702,9.634710761628313,,True,,collision:target,True,True,19,-301.81907755940694,-19.705081814221504,0,0,0,7,0,0.0,0.0,0.0,4.865452299807778,0.0,0.5458267817242892,0.5581355527898708,0.7348440348795942,0,,False,being_overtaken,17,0.0,False,0.0,43
follower,being_overtaken,8.61263148724731,1.404032640487198,-3.382325262425738,,False,,goal,False,False,68,149.66518663839963,-33.84272300621903,0,0,0,14,0,0.0,0.0,0.0,8.35622790277013,0.0,0.5550377086436704,0.5580077385391942,1.4108742254073527,0,,False,being_overtaken,24,0.0,False,0.0,44
follower,being_overtaken,7.715636756725871,1.4454487561777294,5.5446980820429825,,False,,goal,False,False,67,183.41918256230775,-0.33081743769225613,0,0,0,8,0,0.0,0.0,0.0,0.08168331794870522,0.0,0.5602341827655557,0.5605758996051122,1.4428268425475215,0,,False,being_overtaken,19,0.0,False,0.0,45
follower,being_overtaken,7.643066319700785,1.904501364148537,4.629622213453132,,False,,goal,False,False,68,179.93540769520087,-2.838347974489806,0,0,0,9,0,0.0,0.0,0.0,0.7008266603678532,0.0,0.5537019220046675,0.5579226638858188,1.9110746650063215,0,,False,being_overtaken,19,0.0,False,0.0,46
follower,being_overtaken,7.958885684444756,1.982710486307465,9.96521668439594,,False,,goal,False,False,68,183.95100597157773,-0.4491911045566177,0,0,0,9,0,0.0,0.0,0.0,0.11091138384114017,0.0,0.5566790386769912,0.5581024724298835,1.9894811475053724,0,,False,being_overtaken,21,0.0,False,0.0,47
follower,null,9.556232149411287,0.3549204557349615,4.39460585019685,,,,goal,False,False,69,177.4072728412963,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5419327290891888,0.557215453268749,4.954074337470164,0,,False,never,0,0.0,False,0.0,48
follower,null,7.111260720178818,4.098204589788674,0.7798740741336943,,,,goal,False,False,68,183.40031427056962,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.554841545951975,0.5579941683373266,8.943431111741518,0,,False,never,0,0.0,False,0.0,49
