tag,width,outcome,stbd_admissible,peak_stbd,peak_port,first_turn_t,first_turn_dir,min_range,speed_at_min
run8,6,goal,False,32.85365874805015,22.940843409801687,2.5,port,2.7258664527587415,0.8481800130731616
run8,6,goal,False,32.50189968506669,25.053727782948386,2.5,port,2.141420503668614,0.8726182446368616
run8,6,goal,True,23.51988483405296,31.149502839097693,2.5,port,1.4247982513297863,1.0236665214619924
run8,7,goal,True,31.532123137903966,16.697300402823657,8.0,port,2.216656772314767,0.9567957648661126
run8,7,goal,False,21.517511948947572,27.877643353012218,6.5,stbd,2.09987312394849,0.8148243185935304
run8,7,goal,True,44.1668563270737,27.469402259043363,3.0,port,2.225242089838509,0.845779267729114
run8,7,goal,True,28.9988867484752,27.39256823009373,3.0,port,1.9197290189133378,0.8688950681770482
run8,6,goal,False,23.55212680405407,34.438140883495066,7.5,stbd,1.2062372696282504,0.8678000347328145
run8,7,goal,True,34.59130113319833,18.455336626634562,6.0,port,2.138195458577868,1.0021583779926626
run8,7,goal,True,34.93365384456072,32.28489215513605,7.0,port,1.919591487707116,0.7601955115403779
run8,7,goal,False,19.07279671927452,33.04992600428301,7.5,stbd,2.763414882122391,0.7646649042126533
run8,7,goal,True,25.0411430458405,15.000078834585338,2.5,port,2.8810440984136343,0.9113318566757037
run8,7,goal,True,24.481436421954243,31.103015487468497,7.5,stbd,1.8187009863705432,0.9094433590970927
run8,7,goal,True,26.08314491540588,22.096548735148644,2.5,port,3.0185213577724146,0.8469351601035334
run8,7,goal,True,31.15326130551972,29.394678195062,3.0,port,1.8751981080560267,0.8150371477263565
run8,6,goal,False,33.11019427379006,29.857464128591516,10.0,port,1.593489040885393,0.8839468823964256
run8,7,goal,True,34.39169324927627,34.96422653603025,7.5,stbd,2.7801986107912993,0.780942907689083
run8,7,goal,True,27.121982741020815,17.34940181795332,3.5,port,2.6482528554070384,0.9135602139304317
run8,7,goal,False,27.122272574031115,15.88521651545011,6.5,stbd,2.227381401596206,0.7931405377741614
run8,7,goal,True,27.91829055926999,33.19964095932107,2.5,port,1.907013652250532,0.8122135188623025
run8,7,goal,False,24.6176551267055,18.304322167143937,2.5,port,2.830741945469046,0.9175236893221957
run8,7,goal,False,31.95526689677959,29.342331642079273,2.5,port,2.0485564148877855,0.9010595356717558
run8,7,goal,False,19.88635228948516,26.55514425142269,2.5,port,1.5517186011280115,1.0230531532700824
run8,8,goal,True,30.3418078696063,20.710328029683296,3.5,port,2.1480813257286204,0.9487872618350321
run8,8,goal,True,28.869327337347926,24.92973693833585,3.0,port,2.128887001704261,0.8521976896104623
run8,8,goal,True,45.1647053461939,27.543988472416572,3.5,port,2.5178332533209793,0.7199326578114777
run8,8,goal,True,30.033204278052864,31.390012869781856,3.0,port,1.9350817101086213,0.7580595188396844
run8,7,goal,False,25.569955558697217,30.870972277605347,6.5,stbd,1.5750167473535481,0.9950437157879201
run8,8,goal,True,27.845831676010192,18.037539678534017,9.0,port,2.3243314766168526,0.9305594013933504
run8,8,goal,True,37.835702806632014,37.97154512965642,3.5,port,2.018713370918248,0.7117991088090907
run8,8,goal,True,19.13167005126064,33.46332141420146,7.5,stbd,2.8402486790747297,0.826719469495207
run8,8,goal,True,21.677390737215603,14.743009566027467,2.5,port,2.939032017475299,0.8746912635309299
run8,8,goal,True,23.43666485911035,24.703821847011568,7.5,stbd,1.985186110614142,0.8973863320944205
run8,8,goal,True,24.6673514856231,15.733377666004458,2.5,port,2.9578731241897054,0.8765419420417572
run8,8,goal,True,27.680161221267724,38.890299274167944,9.5,port,1.806674887931627,0.7679234250484214
run8,7,goal,True,34.22064327591514,27.529598441214375,2.5,port,1.768867299797798,0.9151244455302615
run8,8,goal,True,24.96334154211482,27.154115149563154,5.0,stbd,2.769353131712926,0.6674144668241032
run8,8,goal,True,24.405111519061848,15.11685662805371,3.5,port,2.7099802817564735,0.897000644478399
