src,case,side,response,engaged,sense,trigger_step,steps_after,outcome,min_range,vport_frames,heading_dev_3s,pre_return,dcpa,tcpa,ct,u_pf,d_pf,u_prog,d_prog,u_exist,d_exist,u_smooth,d_smooth,u_obs,d_obs,u_bnd,d_bnd,u_dom,d_dom,u_col,d_col,u_terminal,d_terminal,u_total,d_total
dev,10,port,stand_on,True,-1,3.0,66,goal,2.2469144467632263,0,0.46229476772489875,3.6566067551970125,2.226126868249491,9.64953455321088,165.26412353887025,-4.710796588748995,-1.189459284427483,96.82393418536527,28.944368837243363,-16.5,-4.915963137984165,-0.13665470606160413,-0.04684643448246125,0.0,0.0,0.0,0.0,0.0,0.0,-5.250112809683272,-3.367402482152929,100.0,3.8145054892676895,170.2263700808714,23.239202987464015
dev,10,port,compliant_30,True,-1,3.0,70,goal,1.1235909641544053,0,-20.814315374401076,3.6566067551970125,2.226126868249491,9.64953455321088,165.26412353887025,-55.47652001264077,-10.791613569734194,97.10798717153476,27.022724707978856,-17.5,-4.949657975417023,-5.516256765421668,-2.6739312739274737,0.0,0.0,0.0,0.0,-1.6562055976315995,-0.8276822486817427,-15.875025193732009,-8.162469713881677,100.0,3.1199105031747614,101.08397960210871,2.737280429511509
dev,10,port,wrong_30,True,-1,3.0,70,goal,3.20846399854781,0,20.92221082267787,3.6566067551970125,2.226126868249491,9.64953455321088,165.26412353887025,-96.01888114052831,-17.405781283349,97.40119167377529,27.07430443318803,-17.5,-4.949657975417023,-5.0864966199114185,-2.547511007140749,0.0,0.0,0.0,0.0,0.0,0.0,-29.41038488549087,-19.12598222141469,100.0,3.1199105031747614,49.385429027844694,-13.834717550958672
dev,10,port,compliant_60,True,-1,3.0,15,target,1.6397987698333536,0,-20.814315374401076,3.6566067551970125,2.226126868249491,9.64953455321088,165.26412353887025,-5.73566915542852,-3.42487521772234,19.460966247857392,14.407541464927249,-3.75,-2.7005401828309017,-0.5245352838765598,-0.33414484906976377,0.0,0.0,0.0,0.0,-5.018270583847329,-2.5632754550424455,-0.5872780153195466,-0.533121297807308,-300.0,-148.451597880062,-296.15478679061454,-143.6000134176075
dev,10,port,wrong_60,True,-1,3.0,28,other,3.3707672985663293,0,20.92221082267787,3.6566067551970125,2.226126868249491,9.64953455321088,165.26412353887025,-32.48402074652971,-12.941740917161155,32.58604708538994,19.039495921670614,-7.0,-3.851945877440659,-1.4861294133452247,-0.6944013444435577,0.0,0.0,-99.50871007327999,-30.69332752507655,0.0,0.0,-25.064333878687517,-17.024921759091622,-300.0,-77.24538202918453,-432.9571470264525,-123.41222353072746
dev,11,port,stand_on,True,-1,5.0,13,target,1.6208633091517703,0,-0.5041724846581701,4.277672625319472,0.23366396928340888,10.766328830535238,123.49873427544586,-0.015448128050695065,-0.011813659542096728,19.23723337922938,14.536697821656423,-3.25,-2.4467453872682734,-0.03359180199794534,-0.024444341093195914,0.0,0.0,0.0,0.0,-2.15732525610731,-1.1945491802046497,-36.547115595766265,-26.28746345460777,-300.0,-164.14699271722827,-322.76624740269284,-179.57531091828784
dev,11,port,compliant_30,True,-1,5.0,64,goal,1.3025147324985167,0,-21.746226960061165,4.277672625319472,0.23366396928340888,10.766328830535238,123.49873427544586,-36.30153806983457,-8.183769809299557,92.14745380411063,27.612346073289544,-16.0,-4.896399152389277,-4.278056318260358,-2.2693551334781157,0.0,0.0,0.0,0.0,-0.0045323067435962625,-0.0022697864269145885,-13.195500038498768,-10.249424950323329,100.0,4.2178030665087585,122.36782707077333,6.22893030788111
dev,11,port,wrong_30,True,-1,5.0,15,target,1.3987088539425006,0,21.361036738096516,4.277672625319472,0.23366396928340888,10.766328830535238,123.49873427544586,-3.742594299135428,-2.219095776209116,20.77159813410246,15.170768185690319,-3.75,-2.7005401828309017,-2.3720965585599174,-1.6394786567479678,0.0,0.0,0.0,0.0,0.0,0.0,-42.787769110310556,-34.56097159264478,-300.0,-148.451597880062,-331.88086183390345,-174.40091590280446
dev,11,port,compliant_60,True,-1,5.0,95,other,1.5152215228986605,0,-21.746605668951133,4.277672625319472,0.23366396928340888,10.766328830535238,123.49873427544586,-143.5487339406721,-18.460225635965188,99.49107044266752,25.3541661709015,-23.75,-5.057915318198266,-2.9423966681253537,-0.9398747791141556,0.0,0.0,-156.488885825256,-1.7855746179078316,0.0,0.0,-8.075110429412506,-7.503779115264449,-300.0,-2.66478831651162,-535.3140564207985,-11.057991612060011
dev,11,port,wrong_60,True,-1,5.0,16,target,1.3036896018483508,0,21.361036738096516,4.277672625319472,0.23366396928340888,10.766328830535238,123.49873427544586,-5.104697230900759,-2.9168481220722646,21.114125967887098,15.300826422626246,-4.0,-2.818186843227314,-0.8649276811719631,-0.5854866548921174,0.0,0.0,0.0,0.0,-3.815229208647234e-05,-1.7953959001767774e-05,-42.783247172686906,-34.5577906460465,-300.0,-141.17599247569487,-331.6387842691646,-166.75349627326582
dev,12,port,stand_on,True,-1,3.0,66,goal,1.637678374515448,0,0.6225940013509614,1.7218789296689931,1.624241388782099,8.020618658983967,169.30086923475568,-5.283266593419209,-1.3510134394351057,96.43011508030663,28.84404488225415,-16.5,-4.915963137984165,-0.12425308626524068,-0.043499856905919745,0.0,0.0,0.0,0.0,0.0,0.0,-11.637454088825148,-8.13096755482199,100.0,3.8145054892676895,162.88514131179704,18.217106382374656
