idx,policy,side,width,dcpa,tcpa,k,ct,range0,hit,kind,min_range
12,stop,starboard,6.8745535936065325,0.9980912249888607,8.821480434593578,0.8896062014180335,258.34957664951156,7.289918123013016,True,target,1.693119654523625
12,slow,starboard,6.8745535936065325,0.9980912249888607,8.821480434593578,0.8896062014180335,258.34957664951156,7.289918123013016,True,target,1.4924351389923634
12,turn30,starboard,6.8745535936065325,0.9980912249888607,8.821480434593578,0.8896062014180335,258.34957664951156,7.289918123013016,True,target,1.6321840918533936
12,turn60,starboard,6.8745535936065325,0.9980912249888607,8.821480434593578,0.8896062014180335,258.34957664951156,7.289918123013016,True,target,1.575395868173329
13,follower,port,7.392424952880393,1.3377756696400032,8.24439388360455,0.7978293467161903,103.21517361238475,6.646297315260755,True,target,1.3387591820135154
13,stop,port,7.392424952880393,1.3377756696400032,8.24439388360455,0.7978293467161903,103.21517361238475,6.646297315260755,True,target,1.3902669840694992
13,slow,port,7.392424952880393,1.3377756696400032,8.24439388360455,0.7978293467161903,103.21517361238475,6.646297315260755,True,target,1.2716326535703537
13,turn30,port,7.392424952880393,1.3377756696400032,8.24439388360455,0.7978293467161903,103.21517361238475,6.646297315260755,True,target,1.7115867893283498
13,turn60,port,7.392424952880393,1.3377756696400032,8.24439388360455,0.7978293467161903,103.21517361238475,6.646297315260755,True,target,1.7095578924037371
14,follower,starboard,8.211625632198505,0.5369332056133689,8.851647683091878,0.6509072648735063,273.7473360838418,5.741684153903771,True,target,1.5828951400200815
14,stop,starboard,8.211625632198505,0.5369332056133689,8.851647683091878,0.6509072648735063,273.7473360838418,5.741684153903771,True,target,1.3533118126122308
14,slow,starboard,8.211625632198505,0.5369332056133689,8.851647683091878,0.6509072648735063,273.7473360838418,5.741684153903771,True,target,1.4773556674345687
14,turn30,starboard,8.211625632198505,0.5369332056133689,8.851647683091878,0.6509072648735063,273.7473360838418,5.741684153903771,True,target,1.334481393421263
14,turn60,starboard,8.211625632198505,0.5369332056133689,8.851647683091878,0.6509072648735063,273.7473360838418,5.741684153903771,True,target,1.2328493372288234
15,follower,port,6.670301727029801,1.6220604567556773,13.116933786477091,0.7603097488491319,68.95766081799397,7.613077200088935,True,target,1.699769418887422
15,stop,port,6.670301727029801,1.6220604567556773,13.116933786477091,0.7603097488491319,68.95766081799397,7.613077200088935,False,,3.964472126126441
15,slow,port,6.670301727029801,1.6220604567556773,13.116933786477091,0.7603097488491319,68.95766081799397,7.613077200088935,False,,3.269840915482648
15,turn30,port,6.670301727029801,1.6220604567556773,13.116933786477091,0.7603097488491319,68.95766081799397,7.613077200088935,False,boundary,3.2269153241083424
15,turn60,port,6.670301727029801,1.6220604567556773,13.116933786477091,0.7603097488491319,68.95766081799397,7.613077200088935,False,boundary,3.9045590138242092
16,follower,starboard,5.356479981505558,0.055795907234700015,9.556864101637911,0.6357326764894005,271.8698730463921,6.227457237835599,True,target,1.4342204038184323
16,stop,starboard,5.356479981505558,0.055795907234700015,9.556864101637911,0.6357326764894005,271.8698730463921,6.227457237835599,True,target,1.4164538983786674
16,slow,starboard,5.356479981505558,0.055795907234700015,9.556864101637911,0.6357326764894005,271.8698730463921,6.227457237835599,True,target,1.2456716988596617
16,turn30,starboard,5.356479981505558,0.055795907234700015,9.556864101637911,0.6357326764894005,271.8698730463921,6.227457237835599,True,target,1.451059828503547
16,turn60,starboard,5.356479981505558,0.055795907234700015,9.556864101637911,0.6357326764894005,271.8698730463921,6.227457237835599,False,boundary,1.913603395305625
17,follower,port,5.304665427323811,0.017848296443167266,10.282532757717407,0.9172475160756363,117.25907155972246,9.39892394868734,True,target,1.6675397598347246
17,stop,port,5.304665427323811,0.017848296443167266,10.282532757717407,0.9172475160756363,117.25907155972246,9.39892394868734,True,target,1.3319287238835784
17,slow,port,5.304665427323811,0.017848296443167266,10.282532757717407,0.9172475160756363,117.25907155972246,9.39892394868734,True,target,1.4585218972392906
17,turn30,port,5.304665427323811,0.017848296443167266,10.282532757717407,0.9172475160756363,117.25907155972246,9.39892394868734,False,boundary,1.5274977878038956
17,turn60,port,5.304665427323811,0.017848296443167266,10.282532757717407,0.9172475160756363,117.25907155972246,9.39892394868734,False,boundary,2.19086115752398
18,follower,starboard,9.457641443617554,1.2551967616775108,8.143912147881723,0.6130232176009509,235.78733738494202,6.652197300581965,False,,1.3145186512607812
18,stop,starboard,9.457641443617554,1.2551967616775108,8.143912147881723,0.6130232176009509,235.78733738494202,6.652197300581965,True,target,1.252673028520382
18,slow,starboard,9.457641443617554,1.2551967616775108,8.143912147881723,0.6130232176009509,235.78733738494202,6.652197300581965,True,target,1.1248458128694527
18,turn30,starboard,9.457641443617554,1.2551967616775108,8.143912147881723,0.6130232176009509,235.78733738494202,6.652197300581965,True,target,1.7711635560294388
18,turn60,starboard,9.457641443617554,1.2551967616775108,8.143912147881723,0.6130232176009509,235.78733738494202,6.652197300581965,True,target,1.1172956013431448
19,follower,starboard,7.939459934530462,2.4303101927483763,10.452666543603328,1.0307338606348098,253.60508731238923,9.794068411073752,False,,2.4417604745685413
19,stop,starboard,7.939459934530462,2.4303101927483763,10.452666543603328,1.0307338606348098,253.60508731238923,9.794068411073752,False,,4.042672980935838
19,slow,starboard,7.939459934530462,2.4303101927483763,10.452666543603328,1.0307338606348098,253.60508731238923,9.794068411073752,False,,3.5404615043137833
19,turn30,starboard,7.939459934530462,2.4303101927483763,10.452666543603328,1.0307338606348098,253.60508731238923,9.794068411073752,False,boundary,3.9487632398237364
19,turn60,starboard,7.939459934530462,2.4303101927483763,10.452666543603328,1.0307338606348098,253.60508731238923,9.794068411073752,False,boundary,4.432653207545703
