policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,case_id,scenario,stratum,supervisor,behaviour
model,being_overtaken,9.408533292885377,1.5697097422529702,-6.486197967087861,,False,,goal,False,False,72,88.53449720018786,-20.798013339068845,0,0,0,13,0,0.0,0.0,0.0,5.135311935572554,0.0,0.5354819851661777,0.714217218454011,2.690651631523803,1.2473209934891558,0,,False,being_overtaken,16,0.0,False,0.0,tier_b,B-22-14,454,channel-wide,off,cv
model,being_overtaken,9.538599116218393,1.8746514359692283,8.068747088689715,,False,,goal,False,False,68,110.32925725101111,-21.09657212619678,0,0,0,6,0,0.0,0.0,0.0,5.20903015461649,0.0,0.5621910201798441,0.7304347190912905,2.0264423163029064,0.6007918276350532,0,,False,being_overtaken,19,0.0,False,0.0,tier_b,B-22-15,455,channel-wide,off,cv
model,being_overtaken,8.133942791782424,1.5455606303359282,7.337138630819112,,False,,goal,False,False,77,82.01188915868133,-17.76648843370543,0,0,0,6,0,0.0,0.0,0.0,4.386787267581587,0.0,0.4991396312145209,0.7273740760902723,1.7138954969455276,0.3388892547041994,0,,False,being_overtaken,19,0.0,False,0.0,tier_b,B-22-16,456,channel-wide,off,cv
model,being_overtaken,8.995555980542592,1.8271139129257772,-5.859736971695648,,False,,goal,False,False,72,18.77654905279526,-35.16028216051326,0,0,0,14,0,0.0,0.0,0.0,8.681551150744014,0.0,0.5411944392911445,0.6892946543898101,2.855192316291023,1.4846186651646698,0,,False,being_overtaken,15,0.0,False,0.0,tier_b,B-22-17,457,channel-wide,off,cv
model,being_overtaken,10.199644183683365,1.6065873276064564,-7.240453989250293,,False,,goal,False,False,68,86.04667472175448,-13.515383866723676,2,0,0,6,0,0.5364573785762123,0.0,0.0,2.681461689573192,0.0,0.5712386897982316,0.68664978242309,2.571605326928452,1.5715952428444315,0,,False,being_overtaken,17,0.0,False,0.0,tier_b,B-22-18,458,channel-wide,off,cv
model,being_overtaken,8.971209679180744,1.9348478321623988,4.681644550689345,,False,,goal,False,False,68,104.61742826108971,-25.14355094191445,0,0,0,11,0,0.0,0.0,0.0,6.208284183188754,0.0,0.5623769321115248,0.7228355454981662,2.0981799447797225,0.5108269088540592,0,,False,being_overtaken,22,0.0,False,0.0,tier_b,B-22-19,459,channel-wide,off,cv
model,being_overtaken,8.997736007412094,1.8719798176796527,7.562298772641302,,False,,goal,False,False,66,112.31121098184109,-16.290713049708494,0,0,0,7,0,0.0,0.0,0.0,4.0223982838786405,0.0,0.5804953229377424,0.7790488528346807,2.1262170108113247,0.550620832274251,0,,False,being_overtaken,20,0.0,False,0.0,tier_b,B-23-00,460,channel-wide,off,re
model,being_overtaken,9.280914526653158,1.8991711810998813,7.771645627693946,,False,,goal,False,False,75,-7.78964090558901,-55.181482315076906,0,0,0,8,0,0.0,0.0,0.0,14.884013715625125,0.0,0.5272258715601397,0.7708217261316908,1.401729981963287,1.740307243333196,0,,False,being_overtaken,19,0.0,False,0.0,tier_b,B-23-01,461,channel-wide,off,re
model,being_overtaken,8.362939562143401,1.771933915149615,7.94887649577689,,False,,goal,False,False,67,103.07292459490152,-18.690410944579043,0,0,0,7,0,0.0,0.0,0.0,4.614916282612109,0.0,0.5776085501785139,0.7708838498885179,2.077721984289865,0.7073046234776819,0,,False,being_overtaken,16,0.0,False,0.0,tier_b,B-23-02,462,channel-wide,off,re
model,being_overtaken,9.428004410012353,1.6073830435301206,7.606140418726643,,False,,goal,False,False,72,90.49935188050672,-28.01668252438049,0,0,0,6,0,0.0,0.0,0.0,6.917699388735923,0.0,0.5374410332437214,0.7432068542796569,1.7574088319301666,0.5211856525884213,0,,False,being_overtaken,17,0.0,False,0.0,tier_b,B-23-03,463,channel-wide,off,re
