src,case,side,mode,response,engaged,target_hit,other_hit,goal,min_range,dcpa,tcpa,ct,k
extra,20,port,basin,a17_60,True,True,False,False,0.8642178663944499,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,20,port,basin,other_30,True,True,False,False,1.6681412014193953,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,20,port,basin,other_60,True,True,False,False,1.6683785488742051,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,20,port,basin,slow,True,True,False,False,1.580779724518692,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,20,port,basin,a17_60_slow,True,False,False,True,0.9669850492357016,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,20,port,basin,other_60_slow,True,True,False,False,1.6327286280157702,0.2632680229372514,9.695302314219223,131.3830201168688,0.7300945511333102
extra,21,port,basin,stand_on,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,a17_30,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,a17_60,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,other_30,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,other_60,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,slow,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,a17_60_slow,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,21,port,basin,other_60_slow,False,False,False,True,2.033666253952756,2.0380488447670593,8.305390556629575,88.35486695905988,0.6417257195130224
extra,22,port,channel,stand_on,True,True,False,False,1.4263153045105437,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,a17_30,True,True,False,False,1.3203580951181826,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,a17_60,True,True,False,False,1.322241129098753,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,other_30,True,True,False,False,1.0729417438617534,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,other_60,True,True,False,False,1.0455169113735665,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,slow,True,True,False,False,1.3177715495800657,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,a17_60_slow,True,True,False,False,1.3901797927636281,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,22,port,channel,other_60_slow,True,True,False,False,1.164179986470902,0.10103532481225141,10.08910589977258,75.5542269965335,0.6589922251878685
extra,23,port,basin,stand_on,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,a17_30,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,a17_60,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,other_30,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,other_60,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,slow,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,a17_60_slow,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,23,port,basin,other_60_slow,False,True,False,False,1.6367795564970038,0.5707792141222603,9.02368492034981,142.1523966142877,0.6689374715891727
extra,24,port,basin,stand_on,True,True,False,False,1.6665987631415988,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,a17_30,True,False,False,True,0.9729611963292958,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,a17_60,True,False,True,False,1.0068053286877612,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,other_30,True,True,False,False,1.4811140484213927,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,other_60,True,True,False,False,1.4848948014084473,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,slow,True,True,False,False,1.6728422168022241,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,a17_60_slow,True,False,False,True,1.0637833645294652,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,24,port,basin,other_60_slow,True,True,False,False,1.7659848983897042,0.27884547778056684,7.93718307516266,145.78450543057434,0.8865871883174288
extra,25,port,basin,stand_on,True,False,False,True,2.134466237450356,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,a17_30,True,False,False,True,2.625661420679005,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,a17_60,True,False,False,True,2.625661420679005,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,other_30,True,True,False,False,1.637462620713587,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,other_60,True,True,False,False,1.6220212509824212,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,slow,True,False,False,True,2.4450446156574244,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,a17_60_slow,True,False,False,True,2.801794886528672,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
extra,25,port,basin,other_60_slow,True,False,False,True,2.479644257716025,2.094728276932877,8.216373417048091,110.95247573532208,0.9823542254367517
