idx,width,bend,step,cls,side,rng,ct_dev_perceived,ct_dev_true,tgt_heading_change,path_turn_since_start,alpha_path
44,6.181975163592668,-5.253220796585083,24,crossing,none,1.3495487769910808,-131.08246164289164,-8.207239559113049,0.0,-0.042273510920296076,-40.73993392121338
44,6.181975163592668,-5.253220796585083,25,none,none,0.937642312492702,-132.72622968960746,-9.85100760582884,0.0,1.6014945357954957,-64.92488747851624
58,7.113532737929641,-12.579800621547006,31,overtaking,none,0.9744064479556779,163.7992109782458,4.908481298347112,0.0,-8.461347080411457,83.87996210035703
58,7.113532737929641,-12.579800621547006,32,overtaking,none,1.0319721219549327,164.4987243745502,5.607994694651467,0.0,-9.160860476715811,114.51280310819715
58,7.113532737929641,-12.579800621547006,33,overtaking,none,1.3142240404858199,165.04980544890805,6.159075769009405,0.0,-9.711941551073778,136.73712614615
64,7.065114472677336,0.0,21,crossing,port,3.0347195143302765,-10.951190024635025,-8.24925584520318,0.0,-0.0002572248301646596,-20.033466065705
64,7.065114472677336,0.0,22,crossing,port,2.4639945818984357,-13.208985430119355,-8.249240714045868,0.0,-0.0002723559874766579,-23.931823969675435
64,7.065114472677336,0.0,23,crossing,port,1.911908898013673,-31.787085358353806,-8.249240714045868,0.0,-0.0002723559874766579,-30.146018019881694
64,7.065114472677336,0.0,24,crossing,none,1.4004904078414373,-149.2762011429088,-8.69445920029031,0.0,0.44494613025696594,-41.594428721054214
64,7.065114472677336,0.0,25,overtaking,none,0.9943411780875397,-150.96349252477523,-10.38175058215677,0.0,2.1322375121234245,-64.8425059212534
64,7.065114472677336,0.0,26,overtaking,none,0.8584662795315645,-152.6722697172956,-12.090527774677128,0.0,3.841014704643783,-103.40869747051201
64,7.065114472677336,0.0,27,overtaking,none,1.0980383118522052,-152.83534797920956,-12.253606036591094,0.0,4.004092966557749,-136.45920546521685
68,7.45470694311339,0.0,22,crossing,port,2.164915563253922,-55.66834754419996,-7.558035522468913,0.0,0.0002731848571499995,-21.118944335415392
68,7.45470694311339,0.0,23,crossing,none,1.6521897179547589,-168.99208671725907,-7.555303820335752,0.0,-0.0024585172760112073,-26.727985814900563
68,7.45470694311339,0.0,24,overtaking,none,1.1690607585618842,-173.75230629056767,-7.348506472613849,0.0,-0.20925586499791393,-36.947869725897476
68,7.45470694311339,0.0,25,overtaking,none,0.9939116844052318,-173.5990460066902,-7.195246188736405,0.0,-0.36251614887535766,-43.704288246629716
69,8.0,-4.9761759547219375,28,overtaking,none,1.0528304988901263,57.08660037593927,-0.5943827474157501,0.0,-3.8655668467045814,-98.87952833084985
69,8.0,-4.9761759547219375,29,none,none,1.2695275084339959,57.31263169541012,-0.3683514279447593,0.0,-4.091598166175601,-124.75267434770717
75,7.882723556205311,0.0,24,crossing,port,2.0943206902339537,-12.319521393049286,-5.925665071181527,0.0,-0.2136360426375461,-43.997361426898436
75,7.882723556205311,0.0,25,crossing,none,1.6970433635988507,-5.604090457474513,-5.118348064599672,0.0,-1.0209530492194006,-55.9907946853307
75,7.882723556205311,0.0,26,none,none,1.42884992754889,-6.3866819408024185,-4.30222109883357,0.0,-1.8370800149855029,-74.1134032807258
78,8.129751700491019,-7.9177772998809814,30,overtaking,none,1.0520133046549724,171.74214687521953,1.7505873175199156,0.0,-5.303453099584232,54.48389593535322
78,8.129751700491019,-7.9177772998809814,31,overtaking,none,0.8503623399614371,172.11964613928012,2.128086581580561,0.0,-5.680952363644877,84.58534268449097
78,8.129751700491019,-7.9177772998809814,32,overtaking,none,0.9453917990200199,172.55167831541826,2.5601187577186124,0.0,-6.112984539782957,118.51129969092642
82,10.0,0.0,25,crossing,port,2.545832208129716,-10.18044653234395,-7.601395714912911,0.0,-0.0005517922054707469,-28.841981571122886
82,10.0,0.0,26,crossing,port,1.9937613274824528,-18.311700549274036,-7.601668828517688,0.0,-0.00027867860069363815,-36.36585934094393
82,10.0,0.0,27,crossing,port,1.5010920575664366,-36.670784061695485,-7.601395714912911,0.0,-0.0005517922054707469,-49.19553192475729
82,10.0,0.0,28,crossing,port,1.1470828527036805,-88.93581633381615,-7.601395714912911,0.0,-0.0005517922054707469,-71.8985427842344
82,10.0,0.0,29,crossing,none,1.0782448521416141,40.75916119020732,-7.601395714912911,0.0,-0.0005517922054707469,-104.39874649110524
82,10.0,0.0,30,none,none,1.339284933193051,40.759161190207294,-7.601395714912911,0.0,-0.0005517922054707469,-131.79805474141853
84,8.83139309084667,0.0,20,crossing,port,3.49012582895707,-12.32126220294549,-8.249513227219182,0.0,1.571858376792079e-07,-18.000563533525565
84,8.83139309084667,0.0,21,crossing,none,2.9031488542731583,-9.781432505009548,-8.249785068593155,0.0,0.0002719985598105268,-20.9924625579865
84,8.83139309084667,0.0,22,crossing,port,2.328613028807685,-22.2726191331501,-8.249785068593155,0.0,0.0002719985598105268,-25.506389571871438
84,8.83139309084667,0.0,23,crossing,port,1.7784726467005558,-34.854455571322546,-8.310966148008958,0.0,0.061453077975613724,-32.981298334681185
84,8.83139309084667,0.0,24,crossing,none,1.2842609144089723,-132.6729045493516,-9.940428651219008,0.0,1.690915581185692,-48.18061284621942
84,8.83139309084667,0.0,25,none,none,0.9386245812966898,-135.33081209040148,-12.598336192268874,0.0,4.34882312223553,-77.27830356418706
88,9.318383678891736,0.0,25,overtaking,none,0.8851369588341513,-171.94873212826246,-7.001034328324835,0.0,-0.5567280092869282,-50.49014348640111
