estop,idx,width,dcpa,coll_target,outcome,estops,u_min
off,33,5.897457001253573,0.8918293425608059,False,goal,0,0.5652708657857692
off,34,6.006645252167553,1.3391572103818132,False,goal,0,0.45462611020813243
off,35,5.912042667153984,1.3960193236397112,False,goal,0,0.5545156534552051
off,36,5.999999999999998,1.8290081990792668,False,goal,0,0.48927200455368547
off,37,6.004268040872987,1.2199365365344372,False,goal,0,0.4732063245339667
off,38,6.0973137753682645,0.6135191627434522,False,goal,0,0.5606762799556794
off,39,5.999999999999999,0.14137351270705856,False,goal,0,0.5373353789941109
off,40,7.06295011326133,1.1610102603999974,False,goal,0,0.5210833683549773
off,41,6.999999999999999,0.5309420280403896,False,goal,0,0.529639883660126
off,42,6.999999999999998,1.0548264325212529,False,goal,0,0.5223537760119324
off,43,6.999999999999999,0.03670725630003924,True,target,0,0.5197993976116474
off,44,6.181975163592668,0.7870190103627532,False,goal,0,0.5412813672636437
off,45,7.046071181625245,1.1594090426277182,True,target,0,0.5634435258014314
off,46,6.817228298272148,0.4570427385228544,False,goal,0,0.5596392603449647
off,47,7.05134805667386,1.8903711810709838,False,goal,0,0.5324431101509356
off,48,6.522868575224217,0.660787727619307,False,goal,0,0.5385566978072107
off,49,7.0,0.37413948972481004,False,goal,0,0.4985488358080236
off,50,6.887353774179502,0.8568397995754622,False,goal,0,0.3567214984855871
off,51,6.999999999999998,1.3472959214865994,False,goal,0,0.5503554119241395
off,52,6.956251567340164,0.04001909622158317,False,goal,0,0.5716605648864985
off,53,6.880366501462503,0.8918293425608059,True,target,0,0.49741687860906614
off,54,7.007752794195478,1.3391572103818132,False,goal,0,0.5404613144707175
off,55,6.897383111679649,1.3960193236397112,False,goal,0,0.5713656086404253
off,56,6.999999999999999,1.8290081990792668,False,goal,0,0.5454793792611841
off,57,7.004979381018484,0.3852504113926303,False,goal,0,0.49466240078827145
off,58,7.113532737929641,0.6135191627434522,False,goal,0,0.5355147703230302
off,59,6.999999999999999,0.14137351270705856,False,goal,0,0.57086338158838
off,60,8.071942986584375,1.1610102603999974,False,goal,0,0.5186684159832912
off,61,7.999999999999998,0.5309420280403896,True,target,0,0.2804678674736621
off,62,7.999999999999998,1.0548264325212529,False,goal,0,0.488498341233143
off,63,7.999999999999998,0.03670725630003924,True,target,0,0.24392509620436748
off,64,7.065114472677336,0.7870190103627532,False,goal,0,0.5566197082837945
off,65,8.052652779000283,1.1594090426277182,False,goal,0,0.5895288800446311
off,66,7.7911180551681705,0.4570427385228544,False,goal,0,0.5749016495997377
off,67,8.058683493341555,1.8903711810709838,False,goal,0,0.5511164727106854
off,68,7.45470694311339,0.660787727619307,False,goal,0,0.570978349652383
off,69,8.0,0.5039496003729844,False,goal,0,0.513313107399704
off,70,7.871261456205144,1.8533873149793867,False,goal,0,0.5497461277093548
off,71,7.999999999999998,1.3472959214865994,False,goal,0,0.565584209326898
off,72,7.950001791245903,0.04001909622158317,False,goal,0,0.5673621856061783
off,73,7.863276001671432,1.7471811503729884,False,goal,0,0.521273472251112
off,74,8.008860336223405,1.3391572103818132,False,goal,0,0.5552833766630394
off,75,7.882723556205311,1.3960193236397112,False,goal,0,0.5694151526923951
off,76,7.999999999999998,1.8290081990792668,False,goal,0,0.5325701658604057
off,77,8.005690721163983,0.3852504113926303,False,goal,0,0.5643559748485208
off,78,8.129751700491019,0.6135191627434522,False,goal,0,0.517242340296711
off,79,7.999999999999998,0.14137351270705856,False,goal,0,0.5593935726504982
off,80,10.089928733230472,1.1610102603999974,False,goal,0,0.5535401471825248
off,81,9.999999999999996,0.5309420280403896,False,goal,0,0.577096243673504
off,82,10.0,1.0548264325212529,False,goal,0,0.5632201779127239
off,83,9.999999999999998,0.03670725630003924,True,target,0,0.26804254956384266
off,84,8.83139309084667,0.7870190103627532,False,goal,0,0.5279760029071493
off,85,10.065815973750352,1.1594090426277182,False,goal,0,0.558575637469991
off,86,9.738897568960214,0.4570427385228544,False,goal,0,0.5265059415525325
off,87,10.073354366676945,1.8903711810709838,False,goal,0,0.5342978975397794
off,88,9.318383678891736,0.660787727619307,False,goal,0,0.5613585079887224
off,89,9.999999999999998,0.5039496003729844,False,goal,0,0.5516524015430287
off,90,9.839076820256432,1.8533873149793867,False,goal,0,0.5445867393004404
off,91,10.0,1.3472959214865994,False,goal,0,0.5593308999375888
off,92,9.937502239057377,0.04001909622158317,False,goal,0,0.5671227777638607
off,93,9.82909500208929,1.7471811503729884,False,goal,0,0.564348011428032
off,94,10.011075420279257,1.3391572103818132,False,goal,0,0.5562471970608809
off,95,9.853404445256638,1.3960193236397112,False,goal,0,0.5611054888507615
off,96,10.0,1.8290081990792668,False,goal,0,0.4907435525097938
off,97,10.007113401454978,0.3852504113926303,False,goal,0,0.5735569498421297
off,98,10.162189625613772,0.6135191627434522,False,goal,0,0.5277855200198353
off,99,10.0,0.14137351270705856,False,goal,0,0.5687741848888405
