scenario,policy,class,mode,slant,w_eff_at_cpa,n_obstacles,layout_redraws,layout_thinned,feasible,outcome,steps,min_target_range,wall_s
105,follower,no_target,basin,0.9828875290229955,9.201353859109183,3,0,0,True,collision:obstacle,16,inf,1.034113883972168
106,follower,no_target,basin,10.356089278203571,9.352354251818824,2,0,0,True,collision:obstacle,31,inf,1.3596482276916504
107,follower,no_target,basin,-4.324336545654178,9.226265367820247,3,0,0,True,collision:obstacle,27,inf,1.5379574298858643
108,follower,no_target,basin,4.467347368212032,9.228035830753342,1,0,0,True,collision:obstacle,17,inf,0.6050112247467041
109,follower,no_target,basin,0.37118644200870426,9.200193065365328,2,0,0,True,collision:obstacle,41,inf,2.0709662437438965
110,follower,no_target,basin,9.901480496250201,9.339107090376732,2,0,0,True,goal,72,inf,4.0106892585754395
111,follower,no_target,basin,-1.1701536087827094,9.20191899482069,2,0,0,True,collision:obstacle,22,inf,1.0207877159118652
112,follower,no_target,basin,-4.056083464274456,9.223101176511953,0,0,0,True,goal,68,inf,1.195221185684204
113,follower,no_target,basin,0.936171788061447,9.201228208159641,0,0,0,True,goal,70,inf,1.3837356567382812
114,follower,no_target,basin,8.580724896282886,9.304144726251462,3,0,0,True,collision:obstacle,28,inf,1.791269063949585
115,follower,no_target,basin,-2.0256421714227155,9.20575260113067,0,0,0,True,goal,67,inf,1.4135711193084717
116,follower,no_target,basin,12.581281105048335,9.426345612222727,0,0,0,True,goal,70,inf,1.3431246280670166
117,follower,no_target,basin,2.5649835602151936,9.209226660497965,2,0,0,True,collision:obstacle,31,inf,1.661118745803833
118,follower,no_target,basin,-1.9690042796056655,9.205435251508588,1,0,0,True,collision:obstacle,40,inf,1.7528295516967773
119,follower,no_target,basin,9.944671151023847,9.3403387698431,1,0,0,True,goal,70,inf,3.030876398086548
0,reference,head_on,channel,0.0,5.023317258390279,2,0,0,True,goal,78,2.039925274732628,60.63145899772644
1,reference,head_on,basin,6.326963762710786,9.256378717080882,0,0,0,True,goal,77,2.049490530471065,39.268157720565796
2,reference,head_on,basin,6.7230971164802975,9.263701505753865,0,0,0,True,goal,81,1.289509495170702,43.827704191207886
3,reference,head_on,channel,0.0,8.287590860076786,0,0,0,True,goal,71,2.666780636077928,44.86468982696533
4,reference,head_on,channel,0.0,9.5404043388642,0,0,0,True,goal,70,2.1979327658064656,40.03571605682373
5,reference,head_on,channel,0.0,6.846275250795383,0,0,0,True,goal,78,1.2525867410903146,44.82136559486389
6,reference,head_on,basin,10.356089278203571,9.352354251818824,0,0,0,True,goal,76,2.180704198812974,39.623042821884155
7,reference,head_on,basin,-4.324336545654178,9.226265367820247,1,0,0,True,goal,71,1.5454711657557885,41.41554093360901
8,reference,head_on,channel,0.0,6.108224436343747,0,0,0,True,goal,73,2.4985309056814518,48.52223801612854
9,reference,head_on,basin,0.37118644200870426,9.20019306536533,1,0,0,True,goal,92,1.7291653176479642,60.858357191085815
10,reference,head_on,basin,9.901480496250201,9.339107090376734,0,0,0,True,goal,70,1.5541876289611039,35.21190571784973
11,reference,head_on,basin,-1.1701536087827094,9.20191899482069,0,0,0,True,goal,71,2.3361542438625467,40.018428325653076
12,reference,head_on,channel,0.0,6.927130096616091,1,0,0,True,goal,79,2.068679499876666,71.14858984947205
13,reference,head_on,basin,0.936171788061447,9.201228208159641,0,0,0,True,goal,71,2.4670149042109046,40.689637184143066
14,reference,head_on,basin,8.580724896282886,9.304144726251462,0,0,0,True,goal,78,1.389173170849883,41.134477615356445
15,reference,head_on,basin,-2.0256421714227155,9.20575260113067,2,0,0,True,collision:target,27,0.8248359293994835,19.449248790740967
16,reference,head_on,basin,12.581281105048335,9.426345612222727,1,0,0,True,goal,81,2.5271311026156735,55.29241967201233
17,reference,head_on,basin,2.5649835602151936,9.209226660497965,0,0,0,True,goal,75,1.8262690856885446,43.08595418930054
18,reference,head_on,basin,-1.9690042796056655,9.205435251508588,1,0,0,True,goal,78,2.2982403446538826,63.241727113723755
19,reference,head_on,channel,0.0,4.3925195597342315,0,0,0,True,goal,74,1.3553627324792776,68.40989995002747
20,reference,crossing,basin,-9.39461820682397,9.325072549897683,0,0,0,True,goal,74,2.6771492318794485,29.81126093864441
21,reference,crossing,basin,0.47813993842962804,9.20032035773287,0,0,0,True,goal,80,1.6125209733341188,39.951409578323364
22,reference,crossing,basin,-11.984321328102748,9.404986784563922,3,0,0,True,goal,78,2.2565675256562048,89.52096962928772
23,reference,crossing,basin,-1.1115832236299705,9.201731668071002,2,0,0,True,goal,89,1.9993874936230274,97.9014835357666
24,reference,crossing,channel,0.0,4.54573294348049,0,0,0,True,goal,72,2.4163255001971,24.750248908996582
25,reference,crossing,basin,4.308918023564345,9.226077960588572,0,0,0,True,goal,84,1.1718015251079594,57.652366399765015
26,reference,crossing,basin,0.4935858570712943,9.20034139048352,1,0,0,True,goal,85,2.2217259647953025,81.55610752105713
